date,top_funnel_spend_usd,conversion_rate,impressions_per_user,click_through_rate,brand_search_volume,campaign_sub_metric_1,campaign_sub_metric_2,campaign_sub_metric_3,campaign_sub_metric_4,campaign_sub_metric_5,campaign_sub_metric_6,campaign_sub_metric_7,campaign_sub_metric_8,campaign_sub_metric_9,campaign_sub_metric_10,campaign_sub_metric_11,campaign_sub_metric_12,campaign_sub_metric_13,campaign_sub_metric_14,campaign_sub_metric_15,campaign_sub_metric_16,campaign_sub_metric_17,campaign_sub_metric_18,campaign_sub_metric_19,campaign_sub_metric_20,campaign_sub_metric_21,campaign_sub_metric_22,campaign_sub_metric_23,campaign_sub_metric_24,campaign_sub_metric_25,campaign_sub_metric_26,campaign_sub_metric_27,campaign_sub_metric_28,campaign_sub_metric_29,campaign_sub_metric_30,campaign_sub_metric_31,campaign_sub_metric_32,campaign_sub_metric_33,campaign_sub_metric_34,campaign_sub_metric_35,campaign_sub_metric_36,campaign_sub_metric_37,campaign_sub_metric_38,campaign_sub_metric_39,campaign_sub_metric_40,campaign_sub_metric_41,campaign_sub_metric_42,campaign_sub_metric_43,campaign_sub_metric_44,campaign_sub_metric_45,campaign_sub_metric_46
2025-01-17,956.36,0.0322,1629.39,0.0219,262.52,159.03,152.12,165.27,165.71,147.85,146.96,147.56,185.75,144.31,158.75,163.55,154.61,149.67,169.45,146.0,329.71,467.84,712.19,879.32,192.93,835.81,375.18,979.69,789.85,549.22,247.74,971.91,685.05,312.18,396.55,710.02,786.88,842.63,651.93,12.12,931.58,856.23,132.16,672.89,433.22,44.49,470.12,880.77,475.7,158.57,306.15
2025-01-18,1801.99,0.0301,2931.66,0.0066,611.15,358.34,356.6,356.67,366.04,364.94,374.92,372.19,353.5,370.07,376.05,380.44,358.31,361.98,363.27,377.74,390.75,419.39,317.07,937.68,203.89,738.56,486.0,647.66,171.64,384.43,408.68,717.33,671.53,745.78,449.78,520.39,273.67,992.97,26.08,520.48,572.09,902.86,72.71,236.94,749.92,698.27,963.46,34.91,399.68,579.67,62.02
2025-01-19,1607.08,0.0311,3461.83,0.0047,923.94,575.26,534.74,546.84,555.09,559.28,544.74,572.38,554.56,551.73,562.13,557.96,546.94,565.58,563.38,550.59,740.81,178.27,539.51,405.52,187.06,265.15,407.08,916.82,211.96,648.12,515.74,834.04,149.04,206.8,921.37,389.53,264.35,366.35,548.72,983.93,297.61,499.5,187.81,700.99,458.81,732.26,352.38,828.79,721.81,541.9,316.35
2025-01-20,936.84,0.031,951.25,0.0329,130.55,62.25,81.83,63.66,79.06,78.24,85.26,65.31,80.13,76.76,78.64,90.2,76.19,94.33,80.41,90.91,601.47,924.43,690.92,568.77,489.02,16.89,650.57,642.74,532.03,908.29,746.11,13.13,346.13,779.49,560.0,518.52,335.9,453.67,594.93,523.06,997.11,446.94,746.09,347.44,163.45,460.7,740.28,410.6,953.0,870.7,405.91
2025-01-21,1417.78,0.0468,2282.39,0.0065,727.68,438.45,420.96,431.59,435.1,439.68,447.67,418.08,450.06,424.51,427.63,426.96,400.6,451.89,441.06,431.27,671.64,762.32,421.34,790.66,797.93,479.7,356.14,33.2,176.55,416.68,121.05,354.46,42.91,804.55,45.11,324.62,843.26,711.67,207.53,182.43,680.82,761.02,591.68,455.87,251.93,676.89,257.29,657.97,753.56,350.3,920.86
2025-01-22,709.24,0.0421,1642.67,0.0256,367.61,240.8,221.52,230.32,232.49,238.7,229.18,219.32,224.17,236.48,214.04,216.42,213.56,228.14,224.8,210.3,389.16,481.36,854.02,697.14,568.97,858.91,963.77,996.76,635.0,314.41,221.61,742.82,719.48,822.14,407.86,622.69,27.29,937.15,208.33,22.09,408.44,707.97,540.59,557.75,367.54,538.24,508.75,372.4,179.45,422.95,80.56
2025-01-23,938.22,0.0318,3409.74,0.0046,931.96,559.24,556.54,564.33,558.34,555.75,561.69,559.33,554.19,567.94,553.68,551.93,550.42,556.65,543.13,554.59,487.81,680.06,771.55,995.52,893.21,895.83,936.15,98.95,291.65,388.44,379.65,77.98,952.59,472.92,416.49,92.98,230.18,894.09,276.22,354.7,559.84,328.54,249.48,686.23,69.56,629.8,552.57,695.52,935.52,598.66,777.13
2025-01-24,1049.54,0.0416,3026.36,0.0054,973.95,582.47,591.16,594.16,573.18,587.15,582.06,586.56,574.86,594.01,581.22,587.52,589.7,551.96,573.13,583.42,989.87,897.28,64.67,13.68,636.54,956.23,848.03,682.64,791.53,435.4,360.4,567.34,264.11,192.48,965.49,621.12,904.92,57.59,711.72,918.23,415.83,102.55,332.24,238.71,584.34,596.7,329.11,254.29,392.13,524.43,395.53
2025-01-25,1657.75,0.0334,3014.99,0.005,949.84,566.33,566.88,575.13,565.97,564.81,564.14,565.44,566.49,566.85,572.58,566.31,561.85,572.88,570.93,566.02,213.92,136.17,621.13,355.13,689.34,879.56,920.3,252.84,808.11,73.56,391.75,429.07,87.7,99.72,599.2,275.34,639.9,169.07,606.27,996.55,888.31,264.85,965.89,835.95,607.53,665.82,471.78,21.93,474.19,719.02,811.26
2025-01-26,2348.87,0.0359,1906.08,0.0191,526.79,314.27,312.78,305.04,317.86,307.61,330.79,314.07,306.01,298.78,323.23,323.37,313.92,316.06,299.2,313.92,417.86,250.37,235.33,281.03,667.61,580.04,449.14,391.98,463.79,498.44,793.52,17.62,475.57,743.36,635.65,17.63,226.85,754.6,845.76,945.37,482.5,131.03,240.63,721.84,62.15,199.63,279.28,947.79,421.58,40.39,513.4
2025-01-27,799.51,0.0326,1744.46,0.0232,875.84,539.23,532.82,522.2,537.8,519.65,518.51,529.18,525.98,545.03,524.99,516.19,540.93,526.9,533.82,528.84,291.82,542.7,557.52,262.32,449.46,444.61,536.43,645.93,180.81,494.31,324.15,235.98,856.7,886.26,713.25,552.71,219.14,688.89,295.66,729.42,823.53,294.73,901.65,234.1,402.31,268.71,6.0,16.37,280.55,563.52,39.28
2025-01-28,1271.35,0.0429,1320.22,0.0244,860.09,493.94,519.41,508.25,522.09,511.27,505.69,526.46,510.41,515.45,516.22,516.49,526.0,516.6,524.77,514.34,765.11,799.01,956.89,222.53,689.34,774.85,742.09,436.49,646.77,588.44,501.9,284.79,551.97,650.84,770.04,578.45,862.62,133.22,912.07,558.14,840.18,261.82,580.53,974.97,414.0,439.96,215.65,824.1,895.04,121.67,946.21
2025-01-29,1388.62,0.0571,669.13,0.0357,387.19,247.65,235.48,245.62,223.81,235.91,238.97,212.76,217.37,224.83,233.75,239.18,241.34,219.05,235.59,231.65,764.01,36.25,879.06,709.12,69.71,739.82,696.15,250.55,992.79,362.82,623.91,111.86,46.78,144.16,635.05,426.57,893.76,502.06,743.71,590.69,824.33,637.71,123.3,664.8,333.82,446.13,700.06,169.14,332.24,315.21,82.73
2025-01-30,569.68,0.03,3094.17,0.0045,846.02,493.37,512.31,495.65,532.47,531.11,499.65,503.92,520.17,511.78,502.46,486.96,502.62,513.19,496.4,490.52,292.45,984.02,404.52,84.76,859.85,538.14,890.68,334.45,622.59,613.11,232.18,631.54,974.27,934.9,237.19,72.29,256.13,780.81,395.01,538.99,722.19,954.5,467.31,452.43,557.74,774.41,770.96,392.22,578.6,661.63,597.68
2025-01-31,1411.32,0.0386,2938.7,0.0052,133.31,77.32,64.63,88.92,82.63,72.82,70.48,82.12,75.01,91.66,70.73,101.2,85.41,86.31,93.79,83.9,81.39,454.91,291.51,741.61,777.81,87.33,716.33,341.55,35.77,878.22,718.7,242.4,828.65,989.1,874.05,893.34,420.51,218.78,95.26,707.05,854.88,685.74,948.55,157.53,345.96,367.39,280.2,822.49,240.03,157.41,877.67
2025-02-01,1058.1,0.0419,3499.15,0.0053,636.64,377.69,389.55,390.92,394.74,377.82,367.55,372.81,369.3,381.76,364.43,379.15,379.65,388.81,402.36,381.09,11.43,359.23,234.41,693.43,245.23,926.08,997.88,959.32,17.29,955.47,547.11,277.62,131.59,433.38,732.12,611.43,834.6,871.29,256.98,418.87,387.23,926.65,418.57,533.22,416.41,162.51,408.04,205.93,797.38,308.84,79.77
2025-02-02,836.61,0.0266,3489.91,0.0047,307.01,190.09,190.33,202.5,182.69,183.57,179.38,201.52,182.52,196.99,177.25,163.95,182.24,193.67,185.68,200.31,427.45,292.72,532.51,250.8,768.03,455.6,348.51,798.61,320.36,583.61,446.78,898.24,921.8,594.83,741.87,115.71,771.01,52.97,956.77,669.2,114.66,784.13,863.39,164.78,797.52,251.47,37.37,865.71,774.2,703.01,553.89
2025-02-03,1923.33,0.0414,2166.3,0.0056,208.51,109.12,114.94,121.01,130.44,129.06,124.28,118.75,125.79,135.94,129.84,126.69,129.2,131.15,130.21,115.71,410.34,174.36,114.25,252.83,12.64,363.33,833.0,458.55,195.78,42.59,809.78,467.12,450.69,777.23,996.56,510.93,813.92,782.2,310.36,121.61,842.45,727.88,256.43,429.49,162.11,214.73,237.06,497.76,296.31,650.81,824.29
2025-02-04,1948.45,0.0332,2806.96,0.0045,169.26,106.18,99.11,108.68,109.95,104.19,103.99,101.14,84.09,90.79,94.53,101.89,95.58,97.45,103.57,83.47,988.39,791.57,549.28,628.86,217.25,629.57,697.63,199.82,813.05,969.24,243.5,392.13,371.9,736.39,802.53,497.25,518.4,615.82,329.9,265.7,498.17,414.06,570.92,408.71,619.11,731.66,779.22,366.15,681.55,91.04,986.32
2025-02-05,1712.6,0.0313,3334.3,0.0059,726.66,456.24,435.6,458.81,448.18,448.84,445.51,441.56,439.31,429.26,433.62,435.18,450.93,435.29,441.3,442.18,469.8,955.41,1.33,762.17,65.14,673.84,691.39,811.02,844.81,705.86,883.18,723.87,461.05,967.79,829.15,60.4,911.55,315.2,189.59,836.0,127.38,324.79,843.85,719.94,505.59,470.34,605.99,662.44,703.87,577.27,724.33
2025-02-06,956.92,0.0495,3048.94,0.0037,405.89,229.9,242.19,237.36,254.11,219.27,248.8,237.62,233.06,253.11,248.2,253.44,241.93,244.44,242.34,247.0,256.42,413.64,323.85,876.49,780.23,210.69,325.84,157.18,258.62,335.96,561.05,909.61,834.57,114.88,951.41,606.86,325.95,720.93,806.85,903.75,115.31,846.28,920.69,192.38,305.07,708.63,205.77,341.39,562.51,147.25,278.33
2025-02-07,646.51,0.046,1242.04,0.0278,752.29,453.27,454.71,436.02,460.1,427.5,449.47,432.91,468.48,424.25,456.58,458.85,457.56,452.45,451.03,441.29,891.23,952.42,219.93,852.14,755.87,836.94,785.6,210.46,325.64,147.16,609.17,25.04,659.48,580.72,151.13,808.33,156.67,782.37,275.64,539.01,159.24,905.39,485.82,821.87,727.53,416.22,257.44,347.29,600.6,252.27,699.57
2025-02-08,2136.89,0.0466,1851.63,0.0254,158.82,88.67,109.61,76.49,92.14,90.33,93.31,91.01,100.53,93.8,84.5,98.27,109.85,105.27,104.35,79.99,491.07,823.8,971.22,964.88,813.64,289.94,900.38,366.01,236.25,143.42,875.06,448.24,59.25,691.93,497.73,749.01,708.73,933.9,330.26,31.64,750.97,451.88,639.69,326.13,551.19,889.74,816.8,733.53,574.45,459.21,705.77
2025-02-09,1624.32,0.0343,887.48,0.0291,383.76,234.52,241.07,237.38,224.54,241.23,235.36,240.55,226.26,215.95,240.23,234.76,240.57,236.69,253.71,245.63,599.18,481.05,727.24,581.38,4.48,186.68,218.55,880.35,908.38,167.74,817.58,610.78,957.6,890.1,580.57,202.97,539.35,367.77,414.35,926.97,710.86,9.06,2.98,443.99,477.36,983.52,209.08,309.83,81.86,109.35,699.97
2025-02-10,683.06,0.0308,3362.15,0.0043,585.54,351.52,338.2,332.49,354.65,335.67,364.05,347.96,343.87,346.56,362.6,350.28,337.24,372.1,337.32,365.47,95.67,674.03,349.65,908.66,501.23,406.4,625.5,131.79,502.65,45.57,601.56,318.56,147.78,874.11,329.28,862.29,854.59,686.02,433.73,702.06,203.82,792.53,253.22,772.34,667.67,669.84,334.16,200.77,670.27,993.65,854.26
2025-02-11,1242.77,0.0525,2318.52,0.0055,811.65,480.58,493.21,483.27,496.32,456.91,488.25,478.53,485.94,484.0,475.69,504.75,491.44,509.06,485.95,462.12,382.92,434.98,92.85,808.51,704.84,730.56,392.13,122.23,656.14,902.15,753.19,772.41,745.57,978.0,839.4,342.54,81.16,602.62,411.34,414.03,846.92,285.07,278.71,625.39,802.29,863.81,664.36,807.65,469.78,165.37,87.38
2025-02-12,551.58,0.0471,1185.93,0.0285,386.88,237.01,245.42,236.5,229.9,237.84,227.44,241.38,238.25,228.54,223.89,217.33,240.63,232.92,220.32,227.54,944.22,558.72,516.8,894.67,155.4,965.46,989.55,493.97,415.48,540.77,433.32,971.48,636.14,512.08,762.42,946.51,843.69,525.21,503.74,598.38,281.29,9.89,93.49,308.03,972.67,507.93,561.11,805.37,438.46,781.31,108.42
2025-02-13,1863.98,0.0305,2515.1,0.0054,663.3,416.02,401.85,399.83,408.63,400.42,388.05,394.67,397.73,392.46,409.89,399.38,406.9,359.61,413.9,414.62,589.51,58.05,213.45,11.63,649.79,809.28,478.83,276.41,631.01,699.96,547.38,943.43,187.53,830.76,720.88,71.75,293.29,890.42,814.51,429.77,792.99,804.99,279.7,386.2,629.35,934.62,460.87,497.59,860.0,829.84,640.62
2025-02-14,888.17,0.0378,2354.38,0.0055,897.38,536.52,549.34,542.68,552.95,527.53,523.98,533.33,536.26,527.46,536.96,539.08,527.3,550.8,532.55,533.67,344.5,696.26,536.43,965.9,84.11,940.35,228.32,568.73,385.86,828.11,62.07,265.98,170.73,427.28,997.15,486.21,654.86,3.17,819.29,465.34,488.81,517.41,321.12,305.79,874.44,831.59,899.74,526.66,23.23,994.46,953.88
2025-02-15,2091.3,0.0285,1574.49,0.0255,654.28,399.76,412.69,394.79,383.4,382.71,399.23,394.06,393.15,415.49,370.37,400.7,386.0,387.16,378.13,387.66,625.67,52.82,835.36,473.53,181.33,140.61,381.86,451.64,339.68,791.54,89.86,226.34,870.33,422.31,259.38,597.12,40.13,282.11,798.31,886.81,731.55,685.21,968.77,594.77,1.09,991.78,219.71,696.08,251.31,428.65,465.84
2025-02-16,1354.59,0.049,840.67,0.0338,309.66,172.87,196.04,198.59,177.43,176.1,191.58,193.51,179.76,204.47,171.8,177.36,195.74,177.78,192.18,182.97,910.41,817.08,615.79,798.18,475.8,71.18,653.84,434.96,634.48,882.61,829.43,957.49,419.69,253.35,735.46,247.65,609.58,538.28,101.12,161.08,381.39,914.69,668.6,332.62,530.24,623.09,741.42,509.27,121.4,874.09,960.56
2025-02-17,1280.1,0.0334,2514.72,0.0054,121.96,63.61,75.67,63.65,71.77,74.28,78.95,96.99,69.74,61.56,70.68,55.74,65.56,69.19,90.62,61.97,273.99,824.95,633.79,127.2,653.57,557.7,76.09,111.97,591.06,967.25,59.67,458.63,654.58,818.24,551.4,771.38,717.27,178.29,799.68,103.67,347.14,541.17,426.01,725.7,214.65,779.21,159.06,417.04,35.34,957.54,938.09
2025-02-18,1320.07,0.0515,2060.92,0.0048,883.09,534.58,540.3,523.08,532.93,523.59,528.57,538.13,509.0,545.67,518.22,531.42,526.86,525.39,536.49,512.81,505.12,237.08,541.03,395.94,145.87,290.3,603.6,141.05,293.53,439.07,169.4,208.3,504.07,985.82,312.99,626.9,368.75,907.87,120.25,2.73,841.36,503.19,988.05,579.79,94.19,542.87,615.73,994.89,275.68,172.89,902.91
2025-02-19,777.28,0.0389,2816.96,0.0057,119.14,86.33,72.93,63.76,66.24,76.43,85.55,83.08,81.22,67.49,67.35,74.3,87.24,77.61,73.53,82.01,958.69,323.66,927.27,271.46,185.22,828.05,931.22,821.08,149.35,950.34,795.83,707.0,727.35,256.34,160.59,18.11,215.41,647.6,124.72,314.0,35.3,290.66,153.23,145.71,531.97,259.12,870.62,147.64,988.48,479.44,909.85
2025-02-20,1954.38,0.0379,2060.49,0.0069,887.23,535.9,532.58,540.64,545.86,503.79,527.5,527.28,535.33,533.63,532.66,547.23,531.86,516.74,536.43,513.91,172.4,481.31,931.9,291.66,204.45,671.99,850.36,885.88,368.58,723.29,1.15,284.42,479.24,56.13,895.88,608.37,537.63,477.88,947.86,147.41,974.74,305.19,476.05,310.27,746.83,354.76,457.9,592.73,270.23,60.01,898.32
2025-02-21,1662.7,0.037,3056.54,0.0049,576.04,342.5,342.11,354.63,349.87,337.06,355.18,335.37,337.89,344.99,360.25,332.92,338.36,334.85,359.77,348.1,719.66,596.66,512.72,123.26,238.7,970.73,67.67,234.68,415.2,70.67,282.4,267.25,287.38,815.54,595.46,491.48,833.19,814.7,819.4,219.99,648.18,796.54,647.06,221.45,412.27,894.01,724.29,885.86,663.71,620.72,819.89
2025-02-22,2672.95,0.0352,2155.72,0.004,945.16,567.09,582.73,571.61,567.49,555.84,566.71,567.72,586.08,560.5,564.19,578.64,558.32,570.53,558.35,575.96,614.48,287.35,305.76,805.76,226.55,254.79,993.39,113.46,628.68,681.78,584.04,879.25,363.38,620.23,824.93,196.03,323.55,450.89,552.41,11.24,432.48,449.03,55.58,390.31,670.11,55.95,820.39,687.22,118.3,581.41,694.98
2025-02-23,2579.14,0.0468,2182.81,0.0061,818.9,478.84,483.16,503.18,476.98,488.78,485.26,492.41,492.21,501.18,502.07,515.02,494.67,497.57,490.22,476.83,679.68,592.49,459.59,9.24,395.15,485.78,698.73,53.42,914.53,686.72,595.45,162.48,859.08,959.7,545.34,995.75,252.47,558.65,874.97,227.2,628.05,163.53,717.0,515.98,489.72,591.48,136.03,880.92,601.85,204.13,24.41
2025-02-24,1396.85,0.0436,3129.96,0.0049,998.14,604.93,614.21,587.1,585.73,593.5,604.81,588.1,588.52,600.14,613.17,595.11,585.55,605.3,594.36,589.64,351.22,297.79,186.56,312.51,653.79,501.24,162.28,608.3,36.18,905.86,777.15,64.39,468.03,252.24,219.98,897.16,278.94,2.75,989.36,332.71,122.74,94.53,99.87,506.76,437.09,372.48,705.83,336.33,984.48,797.9,132.25
2025-02-25,1882.81,0.0587,1710.45,0.0186,415.64,258.21,254.38,266.06,252.19,257.36,253.48,247.63,257.95,244.62,263.73,236.47,246.91,241.51,237.71,261.52,313.88,55.49,636.34,174.41,438.03,239.18,12.42,715.35,243.66,372.93,505.93,269.19,213.45,71.03,337.55,292.51,949.13,365.7,610.64,31.57,514.05,472.92,140.28,754.52,290.26,386.69,919.84,271.99,291.84,37.27,134.23
2025-02-26,632.74,0.0605,902.05,0.0327,790.47,469.76,460.29,489.51,452.96,455.69,477.85,478.27,478.26,461.24,477.13,470.21,477.61,464.5,471.0,479.61,684.21,2.53,500.09,589.04,775.97,590.09,171.28,372.81,193.72,584.91,509.4,606.95,934.61,492.44,381.54,541.07,359.28,138.79,612.9,607.9,985.1,464.96,159.69,189.17,382.59,884.57,576.37,851.27,848.08,806.23,23.54
2025-02-27,793.97,0.0404,586.35,0.0331,461.74,272.34,280.72,284.4,287.17,277.5,277.86,280.65,280.99,268.11,257.41,277.18,290.03,271.98,288.12,270.87,215.54,101.15,103.3,254.25,719.27,443.29,838.18,679.68,502.29,12.19,725.31,123.09,796.6,85.47,972.93,316.5,3.6,689.69,754.43,568.8,235.27,653.46,928.89,946.47,349.8,853.82,186.12,394.11,997.57,26.65,116.7
2025-02-28,567.84,0.0507,2765.41,0.0049,531.89,321.79,298.13,336.95,317.55,324.72,318.75,324.18,314.88,302.72,323.74,324.77,325.81,321.53,324.8,331.16,419.65,792.25,197.65,259.0,126.53,446.72,21.64,712.96,429.7,332.08,498.62,471.59,55.67,261.79,5.63,775.5,781.68,479.03,232.14,97.04,722.28,471.07,683.24,342.85,646.19,598.84,126.94,709.68,588.55,656.83,919.75
